Pharmacy,Populations,Percent
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",[0.9030615903061591]
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",[0.9646337787601729]
KERR DRUG,"[['37071030503', '37071030700']]",[0.9277446509996492]
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",[0.890229717941262]
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",[0.9204076195550819]
WALGREENS - 11201,[['37171930901']],[0.8083864118895966]
CVS - 3511,[['37067002200']],[0.9336560364464692]
BI-LO - 219,"[['37109070800', '37109070201']]",[0.8431306115534474]
MEDICAL PARK PHARMACY EAST,[['37031970305']],[0.9060803474484256]
TARGET,"[['37021002000', '37021002000']]",[0.7854646082143898]
RITE AID - 11310,"[['37059080200', '37059080301']]",[0.972356215213358]
RITE AID - 4757,"[['37097061402', '37097061402']]",[0.9173887926054304]
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",[0.9091149552981008]
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",[0.9228740684120008]
MCCARTHY SQUARE PHARMACY,[['37049960402']],[0.911490329920364]
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",[0.8969872059430458]
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",[0.9173068715322237]
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",[0.8402267292533877]
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",[0.8323625773571168]
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",[0.9436741767764298]
RITE AID - 11429,[['37055970102']],[0.9295851528384279]
CVS - 4435,"[['37093970106', '37051003313']]",[0.9246140584593684]
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],[0.9416767922235723]
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",[0.9213700670141475]
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",[0.9282659341423555]
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",[0.8886757552921833]
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",[0.8971062553945396]
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",[0.8328673501087294]
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",[0.8796806167400881]
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",[0.8694436044753553]
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",[0.8971666906371351]
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",[0.6620918125887364]
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",[0.881871815500134]
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",[0.9428836777339216]
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",[0.9892865283793025]
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",[0.8548035967818268]
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",[0.8531990906138357]
