Pharmacy,Populations,Percent
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",[0.5456608054452637]
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",[0.4756833510827121]
KERR DRUG,"[['37071030503', '37071030700']]",[0.5556693114921935]
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",[0.5042565597667639]
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",[0.5006784260515604]
WALGREENS - 11201,[['37171930901']],[0.5529506871463218]
CVS - 3511,[['37067002200']],[0.5072978303747534]
BI-LO - 219,"[['37109070800', '37109070201']]",[0.4999409611524383]
MEDICAL PARK PHARMACY EAST,[['37031970305']],[0.4795836669335468]
TARGET,"[['37021002000', '37021002000']]",[0.47901341410644743]
RITE AID - 11310,"[['37059080200', '37059080301']]",[0.49710051546391754]
RITE AID - 4757,"[['37097061402', '37097061402']]",[0.5354378818737271]
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",[0.5127779621639562]
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",[0.4973460066658437]
MCCARTHY SQUARE PHARMACY,[['37049960402']],[0.4549019607843137]
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",[0.4663927878580395]
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",[0.4602668213457077]
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",[0.4769245592060892]
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",[0.4421989824759751]
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",[0.39123531279771356]
RITE AID - 11429,[['37055970102']],[0.549117247623359]
CVS - 4435,"[['37093970106', '37051003313']]",[0.5277356446370531]
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],[0.5571428571428572]
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",[0.5111534795042898]
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",[0.4928468091946632]
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",[0.5275940369236845]
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",[0.49812821712681327]
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",[0.5307965172524992]
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",[0.4961699667582021]
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",[0.5360409806073911]
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",[0.509636218496978]
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",[0.5099843178254051]
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",[0.5152116402116402]
