Pharmacy,Populations,Percent
BOONE DRUG AND HEALTHCARE,"[['37189920701', '37189920703', '37189920601']]",[0.3179986814152809]
WAL-MART SUPERCENTER - 1558,"[['37157041100', '37157040300']]",[0.13552671294898883]
KERR DRUG,"[['37071030503', '37071030700']]",[0.14293230445457733]
OAKBORO PHARMACY,"[['37167930700', '37167930901', '37167930902', '37167930901']]",[0.0934586247086247]
CVS - 7325,"[['37171930102', '37171931103', '37171931200', '37171931200']]",[0.12346993081426291]
WALGREENS - 11201,[['37171930901']],[0.15498938428874734]
CVS - 3511,[['37067002200']],[0.08134642356241234]
BI-LO - 219,"[['37109070800', '37109070201']]",[0.18734607218683652]
MEDICAL PARK PHARMACY EAST,[['37031970305']],[0.09270334928229665]
TARGET,"[['37021002000', '37021002000']]",[0.14382652308600088]
RITE AID - 11310,"[['37059080200', '37059080301']]",[0.015541165587419057]
RITE AID - 4757,"[['37097061402', '37097061402']]",[0.03264009243212016]
EASTOVER DRUG,"[['37051002600', '37051002701', '37051002702', '37051002702']]",[0.13581780538302277]
SUN VALLEY PHARMACY,"[['37179020307', '37179020308', '37179020321', '37179020307']]",[0.06287024651251671]
MCCARTHY SQUARE PHARMACY,[['37049960402']],[0.1796434213495825]
CHARLEYS DRUGS AND SUNDRIES,"[['37071030105', '37071030106', '37071031005', '37071031101', '37071031102']]",[0.08768610676976228]
MEDICAL PARK PHARMACY,"[['37147000602', '37147000604']]",[0.18421614694574967]
CVS - 3504,"[['37067000100', '37067000200', '37067000301', '37067000900', '37067000100']]",[0.28088207811623994]
CVS - 2771,"[['37101041003', '37101041004', '37101041005', '37101041004']]",[0.05985308787521538]
KERR HEALTH LONG TERM CARE PHARMACY,"[['37183054020', '37183054020']]",[0.028291621327529923]
RITE AID - 11429,[['37055970102']],[0.03657205240174673]
CVS - 4435,"[['37093970106', '37051003313']]",[0.07538738738738739]
COURT HOUSE BAY PHARMACY-DOD,[['37133000800']],[0.23630672926447574]
HADNOT POINT BRANCH MEDICAL CLINIC PHARMACY-DOD,"[['37133000800', '37133002300', '37133002400', '37133000800']]",[0.16586224889120793]
WAL-MART SUPERCENTER - 1348,"[['37129011800', '37129012008', '37129012103', '37129012110', '37129012111', '37129012008']]",[0.07604986419667108]
ONEALS DRUG STORE OF NEWPORT,"[['37031970601', '37031970602', '37031970701', '37031970702', '37031970703', '37031970703']]",[0.09219713917700495]
WAL-MART SUPERCENTER - 3503,"[['37057061102', '37151030504', '37151031501', '37057061102']]",[0.19114505204782037]
SAM'S CLUB - 6348,"[['37119005826', '37119005867', '37119005826']]",[0.057042107446587845]
MARSHVILLE PHARMACY,"[['37179020901', '37179020800']]",[0.10308231819859727]
LIBERTY DRUG STORE,"[['37001021803', '37081017000', '37151031200']]",[0.13204837490551777]
HICKS PHARMACY,"[['37169070101', '37169070600', '37169070702', '37169070701']]",[0.1796686856892651]
CHEROKEE INDIAN HOSPITAL,"[['37099940200', '37173940100', '37173940100']]",[0.24747645823453696]
SAM'S CLUB - 4798,"[['37067002901', '37067002806']]",[0.21037811745776347]
PIEDMONT PLAZA OUTPATIENT PHARMACY,"[['37067001200', '37067001100']]",[0.15880027900488258]
HARRIS TEETER - 45,"[['37119005817', '37119005817']]",[0.06788571428571429]
SAM'S CLUB - 4945,"[['37155960701', '37155960702', '37155960900']]",[0.22366672992977796]
RITE AID - 11393,"[['37183050800', '37183052002', '37183052101', '37183052102', '37183052816', '37183052101']]",[0.1777621816723481]
WAL-MART SUPERCENTER - 4273,"[['37019020205', '37019020201']]",[0.10308750365817969]
CLEVELAND DRUG COMPANY,"[['37159051901', '37159051903', '37159051904', '37159051901']]",[0.11438592173270982]
WALGREENS - 6688,[['37097061403']],[0.07197513151602104]
CVS - 1218,"[['37067003106', '37067003105']]",[0.1105619881389438]
CVS - 7548,[['37183053105']],[0.058771929824561406]
WAL-MART SUPERCENTER - 2929,"[['37051001605', '37051003102', '37051003103', '37155960203', '37051001605']]",[0.1561570889727091]
SUPERTARGET,"[['37119005508', '37119006112', '37119006113', '37119006114', '37119006115', '37119006113']]",[0.05955606502709462]
HARRIS TEETER - 66,"[['37119005840', '37119005859']]",[0.029686174724342665]
YADKIN VALLEY PHARMACY,"[['37197050502', '37197050504', '37197050504']]",[0.1587508698677801]
FALLSTON PHARMACY,"[['37045950101', '37045950200', '37045950200']]",[0.17481612639607735]
WALGREENS - 12562,"[['37067002903', '37067002904', '37067003002', '37067003105']]",[0.15599855019934758]
CVS - 8417,[['37183053611']],[0.015917341524713767]
CVS - 3120,[['37023020901']],[0.08486102897693672]
CVS - 7547,"[['37123960202', '37123960301', '37123960302', '37123960202']]",[0.12951451727122512]
